,id,age,sex,hhold,htype,wp,long,lat,RID
1608502,36047010200i1420,71,m,36047010200h994,0,36047010200h994,-74.01005444152679,40.6385634848849,803146
1608503,36047010200i3926,51,m,36047010200h994,0,36047011800w112,-74.01005444152679,40.6385634848849,803146
1608504,36047010200i4938,28,f,36047010200h994,0,36047010200h994,-74.01005444152679,40.6385634848849,803146
1608505,36047010200i4103,48,f,36047010200h994,0,36047010200h994,-74.01005444152679,40.6385634848849,803146
1608506,36047010200i2135,68,f,36047010200h994,0,36047010200h994,-74.01005444152679,40.6385634848849,803146
3035684,36047055600i1951,43,f,36047055600h982,0,36047055600h982,-73.9590428502542,40.6027827532992,796047
3035685,36047055600i1732,39,m,36047055600h982,0,36047055600w10,-73.9590428502542,40.6027827532992,796047
3035686,36047055600i3567,56,m,36047055600h982,0,36061014500w89,-73.9590428502542,40.6027827532992,796047
5623748,36061028300i5897,59,m,36061028300h3009,6,36061028300h3009,-73.92748230175809,40.860589450341,450506
5623749,36061028300i5110,32,f,36061028300h3009,6,36061028300h3009,-73.92748230175809,40.860589450341,450506
5623750,36061028300i5112,42,f,36061028300h3009,6,36061020300w1343,-73.92748230175809,40.860589450341,450506
7442199,36081091900i638,51,f,36081091900h472,4,36119002600w403,-73.8461653396256,40.774441568329294,781068
7432353,36081089200i1278,55,f,36081089200h764,4,36081089200h764,-73.8444646562345,40.6644564654966,467077
7432354,36081089200i5411,40,m,36081089200h764,4,36081089200h764,-73.8444646562345,40.6644564654966,467077
7432355,36081089200i5773,52,m,36081089200h764,4,36081089200h764,-73.8444646562345,40.6644564654966,467077
4055016,36059410800i913,51,m,36059410800h690,1,36103159106w467,-73.7040489069608,40.6513402111537,432112
4055017,36059410800i4929,27,f,36059410800h690,1,36091060701w,-73.7040489069608,40.6513402111537,432112
4055018,36059410800i1086,56,f,36059410800h690,1,36059410800h690,-73.7040489069608,40.6513402111537,432112
4055019,36059410800i1503,13,f,36059410800h690,1,36059410900s1,-73.7040489069608,40.6513402111537,432112
4055020,36059410800i4478,20,f,36059410800h690,1,36059410800h690,-73.7040489069608,40.6513402111537,432112
4055021,36059410800i4153,54,m,36059410800h690,1,36059300900w564,-73.7040489069608,40.6513402111537,432112
4055022,36059410800i4887,48,m,36059410800h690,1,36061010000w381,-73.7040489069608,40.6513402111537,432112
3811287,36047118600i1347,8,m,36047118600h493,1,36081020600s0,-73.8668484238522,40.6814727165173,661794
3811288,36047118600i2483,54,f,36047118600h493,1,36061004100w228,-73.8668484238522,40.6814727165173,661794
3811289,36047118600i1348,15,m,36047118600h493,1,36081012400s2,-73.8668484238522,40.6814727165173,661794
3811290,36047118600i1359,5,m,36047118600h493,1,36081020600s0,-73.8668484238522,40.6814727165173,661794
3811291,36047118600i1073,34,f,36047118600h493,1,36047118600h493,-73.8668484238522,40.6814727165173,661794
3811292,36047118600i1342,12,m,36047118600h493,1,36081002800s0,-73.8668484238522,40.6814727165173,661794
3811293,36047118600i2679,41,f,36047118600h493,1,36061012900w276,-73.8668484238522,40.6814727165173,661794
3811294,36047118600i521,27,m,36047118600h493,1,36081156700w415,-73.8668484238522,40.6814727165173,661794
3811295,36047118600i1866,45,m,36047118600h493,1,36091062405w,-73.8668484238522,40.6814727165173,661794
2210873,36047030300i3026,4,m,36047030300h1349,1,36047043500s0,-73.9188857617902,40.6751854045447,768559
2210874,36047030300i1455,23,m,36047030300h1349,1,36047030300h1349,-73.9188857617902,40.6751854045447,768559
2210875,36047030300i2519,19,f,36047030300h1349,1,36047030300h1349,-73.9188857617902,40.6751854045447,768559
9119873,34003030200i7145,50,f,34003030200h1621,1,36061007800w174,-74.092105548183,40.8814701260227,29426
9119874,34003030200i2486,32,f,34003030200h1621,1,34031246300w622,-74.092105548183,40.8814701260227,29426
9119875,34003030200i6094,22,f,34003030200h1621,1,36047030500w41,-74.092105548183,40.8814701260227,29426
9119876,34003030200i3422,5,f,34003030200h1621,1,34039036800s2,-74.092105548183,40.8814701260227,29426
9119877,34003030200i3417,0,f,34003030200h1621,1,34031181800d7,-74.092105548183,40.8814701260227,29426
9119878,34003030200i3414,11,f,34003030200h1621,1,34039036800s2,-74.092105548183,40.8814701260227,29426
9119879,34003030200i1998,33,m,34003030200h1621,1,34003030200h1621,-74.092105548183,40.8814701260227,29426
6184347,36081023200i2199,24,m,36081023200h1230,0,36081023200h1230,-73.8134466651853,40.709939759866295,467802
6184348,36081023200i2305,28,f,36081023200h1230,0,36061007400w952,-73.8134466651853,40.709939759866295,467802
218907,36005008300i2609,84,f,36005008300h1122,4,36005008300h1122,-73.9027306543424,40.81346208789329,762573
218908,36005008300i3953,6,m,36005008300h1122,4,36005000400s0,-73.9027306543424,40.81346208789329,762573
218909,36005008300i4353,44,f,36005008300h1122,4,36005008300h1122,-73.9027306543424,40.81346208789329,762573
8297722,36119000201i1156,35,m,36119000201h1440,3,36119000201h1440,-73.898784607567,40.917700129657,533383
8297723,36119000201i2529,17,f,36119000201h1440,3,36005032300s0,-73.898784607567,40.917700129657,533383
2912735,36047052000i2432,41,m,36047052000h1254,6,36047052000h1254,-73.9644206325112,40.636196605921896,1283929
2912736,36047052000i2915,23,f,36047052000h1254,6,36061020300w657,-73.9644206325112,40.636196605921896,1283929
2912737,36047052000i2438,31,m,36047052000h1254,6,36061000900w1819,-73.9644206325112,40.636196605921896,1283929
470390,36005019300i2899,36,m,36005019300h1914,6,36005021601w79,-73.92888600259029,40.835539463488495,763675
